Title,Subtitle,Ingredients,Cooking tools,Instructions
Veggie Meatball Frittata ,Prep+Cooking time: 45 minutes  Servings: 2 servings,Frittata 14 oz firm tofu* 2 arrowroot starch  ¼ cup nutritional yeast 1 tsp. onion powder 1.5 tsp. garlic powder ¼ tsp. turmeric ½ tsp. black salt  ¼ tsp baking powder 1.5 tsp salt ¼ cup plant milk  Veggie Meatballs  1 cup veggie ground 1 tbsp psyllium husk powder OR 2 tbsp psyllium husks 1 tbsp arrowroot powder 1 tbsp chickpea flour Veggies ¼ cup red onion 1/4 cup olives ¼ cup cherry tomatoes halved ½ cup vegan cheese sauce Note: For soy-free use HV Mung Fu OPTIONAL TO MAKE YOUR OWN… HV cheese sauce HV Mung Fu ,High-Speed Blender Mixing Bowl 10-inch skillet ,"PREPARE VEGGIE MEATBALLS Combine veggie ground, ground flax, and chickpea flour. Roll into small balls. Preheat oven to 375 F. BLEND THE FRITTATA In a high-speed blender combine tofu, garlic powder, onion powder, nutritional yeast, turmeric, salt, pepper, arrowroot, and water. Blend until smooth. Add baking powder and blend just to combine. Heat a well-seasoned cast iron skillet on medium heat. Add the frittata mixture to the pan and smooth. Top with veggies and uncooked veggie meatballs. BAKE Place the skillet in the oven for 15-20 minutes or until the top appears dry and cooked. FINISH AND SERVE Remove the skillet from the oven. Drizzle with cheese sauce. Enjoy! "
Veggie Frittata,Prep+Cooking time: 45 minutes  Servings: 2 servings,14 oz firm tofu* 2 arrowroot starch  ¼ cup nutritional yeast 1 tsp. onion powder 1.5 tsp. garlic powder ¼ tsp. turmeric ½ tsp. black salt  ¼ tsp baking powder 1.5 tsp salt ¼ cup plant milk  Veggies ¼ cup red onion ¼ cup olives ¼ cup cherry tomatoes halved ½ cup vegan cheese sauce Note: For soy-free use HV Mung Fu OPTIONAL TO MAKE YOUR OWN… HV cheese sauce HV Mung Fu ,High-Speed Blender Mixing Bowl 10-inch skillet ,"Preheat oven to 375 F. BLEND THE FRITTATA In a high-speed blender combine tofu, garlic powder, onion powder, nutritional yeast, turmeric, salt, pepper, arrowroot, and water. Blend until smooth. Add baking powder and blend just to combine. Heat a well-seasoned cast iron skillet on medium heat. Add the frittata mixture to the pan and smooth. Top with veggies. BAKE Place the skillet in the oven for 15-20 minutes or until the top appears dry and cooked. FINISH AND SERVE Remove the skillet from the oven. Drizzle with cheese sauce. "
Cream Cheese Frosting,Prep+Cooking time: 10 minutes  Yields: 2 cups,1 ½ cup soaked cashews (Soaked for min. 2 hrs) ½ cup coconut milk 2 tbsp lemon juice 4 soft Medjool dates 1 tsp vanilla extract ,High-speed blender ,"Add cashews, coconut milk, dates, and vanilla extract to a high-speed blender. Blend on high until completely smooth. Refrigerate to chill. Enjoy! "
Chocolate Fudge Frosting,Prep+Cooking time: 10 minutes  Yields: 2 cups,	1 cup pitted Medjool dates (about 6–7 large) 	1/2 cup hot water 	1/4 cup cocoa powder 	1 tablespoon tahini 	1/4 teaspoon salt 	INSTRUCTIONS ,-1,"	Combine soft Medjool dates and hot water in a high-speed blender. Blend until completely smooth. Add cocoa powder and almond butter and blend until smooth, scraping down the side as necessary. "
Vanilla Frosting,Prep+Cooking time: 10 minutes  Yields: 2 cups,1 cup soaked cashews (Soaked for min. 2 hrs) ½ cup plant milk 4 soft Medjool dates  1 tsp vanilla Pinch salt ,High-speed blender ,"Add cashews, coconut milk, dates, and vanilla extract to a high-speed blender. Blend on high until completely smooth. Refrigerate to chill. Enjoy! "
Jamaican Patties,Prep+Cooking time: 1 hour  Servings: 4,"3 cups veggie beef 2 tbsp ground flax Salt to taste 1 tsp allspice 1 tsp thyme ¼ tsp cayenne 1 tsp onion powder Crust 2 ½ cups fine almond flour ⅔ cup arrowroot powder 4 tbsp ground flax  ½ cup  + 2 tbsp water 1 1/2 tsp salt ¼ tsp turmeric PREPARE FILLING In a bowl combine veggie ground beef with spices and ground flax. Mix to combine. PREPARE THE DOUGH Combine flax and water and set aside. Combine almond flour, arrowroot, salt, and turmeric together in a bowl. Add the flax mixture and mix with a spoon until it begins to come together.  It is best to use your hands at this point to bring it all together to form a ball of dough. Divide the dough into six equal portions. ROLL THE DOUGH One at a time, place each ball of dough between 2 sheets of parchment paper to roll into a roughly 8-inch circle. Use a 7-inch round bowl or other round object and cut around to create a clean edge. FILL Add about ⅓ cup of filling (adjust if necessary) to one half of the circular crust. Gently fold over the crust's other side, taking care not to tear it. This dough will not stretch like regular dough. Seal the pocket by gently pressing with a for. Dip the fork in tapioca starch if it is sticking. CHILL Place covered patties in the freezer for 20 minutes. Poke tops with a fork 4-6 times. BAKE AND SERVE Bake at 350 for 20-25 minutes until the crust is lightly golden around the edges. Remove from the oven and enjoy! No-Chicken Nachos ",-1,-1
No-Chicken Nachos,Prep+Cooking time: 30 minutes  Servings: 2,CHIPS 6 Organic Corn Tortillas Lime juice VEGGIE CHICK’N 3 cups of Lions Mane broken into small pieces 2 tbls coconut aminos 2 tsp garlic granules 2 tsp paprika 1 tsp onion granules ½ tsp smoked paprika 1 tsp dried oregano 1 tsp cumin powder ½ tsp salt RED SALSA 4 roma tomatoes ½ white onion 1 jalapeno peppers 2 cloves garlic 1 tsp oregano ½ tsp black pepper 1 tsp chili powder 1/2 tsp cumin powder 1 dates TOPPINGS ¼ cup red onions diced ½ cup black beans ½ cup vegan cheese ¼ cup vegan sour cream Optional: Chives OPTIONAL TO MAKE YOUR OWN… HV cheese HV sour cream ,High-speed blender Baking sheet Parchment Skillet Burger press or weighted pan ,"Preheat oven to 350 F PREPARE SALSA Combine ingredients in a high-speed blender. Blend until smooth. PREPARE THE CHIPS Cut tortillas into 6 pieces. Spread cut tortillas on a parchment-lined baking sheet. Lightly brush the tortillas with lime juice. Bake for 10-12 minutes or until crispy and golden. PREPARE VEGGIE CHICK’N Heat cast iron skillet to medium-high heat. Add mushrooms. Use a burger press or other weighted pan to press and encourage mushrooms to release their water. Once most of the water has cooked off, add the spice mixture and continue to cook for 2-3 minutes. FINISH AND SERVE Top tortilla chips with red salsa, veggie ground, onions, black beans, vegan cheese, and sour cream. Optionally garnish with chives. Enjoy! "
Salsa Verde,Prep+Cooking time: 30 minutes  Yields: 2 cups,10-12 medium tomatillos 1 serrano pepper (adjust to taste) 1 large jalapeno (adjust to taste) 1 ½ garlic cloves ½ a white onion 1 bunch cilantro 1 tsp salt ,Pot High-speed blender ,"COOK THE VEGGIES Boil hot peppers, garlic, and onion for 15 minutes or until soft.  Add tomatillos to the pot with the pepper, onion, and garlic. Allow to cook until tomatillos turn yellowish-olive green. Do not overcook. Once they start to change color, remove the pot from the heat. The tomatillos will finish cooking in the hot pot. BLEND AND SERVE Combine all your ingredients in a food processor or blender. Enjoy! "
Pico Del Gallo,Prep+Cooking time: 30 minutes  Yields: 3 cups,1 small white onion 1  serrano or jalapeno pepper 1/2 bunch of fresh cilantro 1/2 tsp salt  3 tbsp lime juice  ,Knife Mixing bowl ,Finely chop all ingredients and combine them in a mixing bowl. Add salt and lime juice. Mix and enjoy! 
Vegan Omelet,Prep+Cooking time: 30 minutes  Servings: 1,Omelet: 5-ounces firm tofu * 2 tbsp hummus ¼ tsp garlic granules 2 tbsp nutritional yeast ¼ tsp paprika ½ tsp salt or black salt 1 tsp arrowroot  1-2 tbsp water Filling:  4 oz mushrooms ½ red onion ¼ tsp garlic granules ¼ tsp paprika ¼ tsp pepper Salt to taste Note: For soy-free use HV Mung Fu ,10-12 inch oven-safe skillet High-speed blender ,"Preheat oven to 375 F. PREPARE THE VEGGiES Add ¼ cup of water or vegetable broth to your skillet. Heat on medium-high. Add onions, mushrooms, and pepper. Cook until soft and water has evaporated. BLEND In a high-speed blender combine tofu, hummus, garlic, nutritional yeast, paprika, pepper, arrowroot, and water. Blend until smooth. COOK Heat oven-safe skillet on medium heat.  Spread a thin layer of omelet mixture with a spatula. Allow it to cook for 3-5 minutes or until edges start to appear “dry”.  BAKE Place the skillet in the oven for 5-10 minutes or until the top appears dry and cooked. Remove the skillet from the oven.  FINISH AND SERVE Add toppings to half of the omelet. Gently fold over the omelet. Optionally drizzle with vegan jalapeno cheese sauce or other sauce of choice. Enjoy! "
Papaya/Mango Salsa,Prep+Cooking time: 20 minutes  Yields: 3 cups,2 cups diced papaya 1 cup diced mango 1 jalapeno pepper ½ finely diced small red onion ½ bunch of cilantro finely chopped 2 limes 2 tsp chat masala*  Note: Use ½ tsp salt to replace chat masala ,Mixing bowl Knife ,Prepare and combine all the ingredients in a mixing bowl. Mix and enjoy! 
Reeses Chia Pudding,Prep+Cooking time: 20  minutes  Servings: 4 ,Peanut Butter Layer 1 cup natural peanut butter 1 cup plant milk ⅓ cup ground chia 1/2 tsp salt 1 tsp vanilla 2/3 cup date paste Chocolate Layer 1 cup plant milk 1 cup 100% dark chocolate chips (no sugar added) 1 cup date paste or 8-10 Medjool dates ,High-speed blender Double boiler ,"PREPARE PEANUT BUTTER LAYER Combine ingredients in a high-speed blender. Blend until combined. Pour mixture evenly into 4 cups, Place cups in the freezer while preparing the chocolate layer. PREPARE CHOCOLATE LAYER If using whole dates, blend milk and dates until smooth. Heat a double-boiler (with water in the pot) over medium heat. Add chocolate to the double-boiler bowl. Mix until all the chocolate is melted. Combine melted chocolate, dates, and plant milk in a high-speed blender. Pour chocolate mixture over top of the peanut butter layer. FINISH AND SERVE Allow to chill in the fridge for 1 hour. Garnish with chopped peanuts and coarsely ground salt. Enjoy! "
 Strawberry-Rhubarb Pie,Prep+Cooking time: 45 minutes  Servings: 9” inch pie,Pie Crust 1 ¼ cup fine almond flour ⅓ cup arrowroot powder 2 tbsp ground flax 5 tbsp water 1/4 tsp salt or to taste FILLING 1 ½ pints strawberries washed and cut 1 ½ cups chopped rhubarb ¾ cup date paste 2 tbsp arrowroot powder 2 tsp vanilla ½ tsp cinnamon TOPPING 1 cup nuts of choice (I use walnuts and pecans) 2 medjool dates 1/2 tsp vanilla extract ,Mixing bowl 9-inch pie pan Food processor ,"PREPARE PIE CRUST Mix ground flax and water and set aside. Combine almond flour, baking powder, arrowroot, and salt together in a bowl.  Add the flax mixture and mix with a spoon until it begins to come together. Use your hands to bring it all together to form a ball of dough.  Place the ball of dough between 2 sheets of parchment paper to roll. Roll to fit a 9-inch pie pan.  Poke the crust with a fork, cover and place it in the freezer for 20 minutes.  In the meanwhile, preheat the oven to 400 F. Cover the pie crust with parchment and use pie weights or other heat-safe material to weigh the crust down. Bake for 15 minutes.  PREPARE THE FRUIT Wash and cut strawberries and rhubarb into 1/2-inch pieces. FINISH THE FILLING Add strawberries, rhubarb, and all other ingredients to the bowl. Mix to combine. BAKE Add filling to the pie crust. Bake at 375 F covered for 20-25 mins Uncover and bake for another 5-10 minutes. Let cool for 10 minutes. FINISH AND SERVE Add topping ingredients to a food processor and process to a coarse crumb. Top pie with nut crumbs. Enjoy! "
Pineapple-Curry Millet (NF Option),Prep+Cooking time: 50 minutes  Servings: 4,2 cups of cooked millet or quinoa 15 oz Mung-Fu OR  Tofu 10 oz shiitake mushrooms ¾ cup diced onion 1 cup diced red pepper 4 tbsp coconut aminos ½ cup cashews ( Omit for nut free) 1 finely diced jalapeno pepper 3 tbsp curry powder ¼ tsp black pepper ⅓ cup pineapple juice 1 tsp of salt OR TO YOUR TASTE 1 ½ cups diced pineapple Note: For soy-free use HV Mung Fu ,Large wok or Saute Pan ,"PREPARE THE INGREDIENTS Mung-Fu/ Tofu- diced and sauteed in ¼ cup coconut aminos. Cashews- lightly dry roast. Shiitake mushrooms- water sautee. COOK Heat pan on medium-high heat and add ¼ cup water and coconut aminos. Add diced onion, diced red pepper, and diced jalapeno and saute until softened. Add small amounts of water as necessary.  Add curry powder and black pepper and mix. Add cooked millet, salt, tofu, mushrooms, and cashews. Mix until everything is well combined.  FINISH AND SERVE Add pineapple chunks and juice and mix to combine. Enjoy! "
Raspberry-Chocolate Cream Squares ,Prep+Cooking time: 1-hour Servings: 8x8-inch pan,3 cups nuts 4 pitted Medjool dates 1 tsp vanilla Pinch salt Raspberry Layer 1 ½ cup raw cashews (soaked for min. 2 hours) 1 cup frozen raspberries ½ cup oat milk 1 tsp vanilla 1 tsp psyllium husks 4 dates Optional: 1 tbsp pomegranate powder  Chocolate Layer 1.5 cups plant milk (see note if not using 100% cacao/cocoa chips) ½  cup (6-7) pitted Medjool dates 6 oz unsweetened chocolate or cacao bars or chips ,Food Processor High-Speed Blender 8x8-inch pan Parchment paper Double boiler ,"PREPARE THE CRUST Add all the crust ingredients to the food processor and process to a semi-fine crumb. Press onto the button of an 8x8-inch parchment-lined pan. PREPARE RASPBERRY LAYER Combine all the ingredients in a high-speed blender. Blend until smooth. Add the raspberry layer on top of the crust. Put the pan in the freezer while preparing the chocolate layer. PREPARE CHOCOLATE LAYER Combine dates and plant milk in a high-speed blender and blend until smooth. Place a glass or stainless steel mixing bowl over the top of a small saucepan filled ⅓ with water. Add chocolate chips to the bowl. Heat the pot on medium. Mix chocolate as it melts. Once the chocolate is completely melted, add to the blender with the date and plant milk and blend until smooth and combined. Remove the pan from the freezer and pour the chocolate layer over top. Return the pan to the freezer for 2 hours. FINISH AND SERVE Remove the pan and cut into squares. Enjoy! "
Shepherds Pie ,Prep+Cooking time: 1 hour Servings: 1 9” pie (4 servings),2.5 cups Veggie Ground ½ cup vegan cheese sauce Pie Crust 1 ¼ cup fine almond flour ⅓ cup arrowroot powder 2 tbsp ground flax 5 tbsp water 1/4 tsp salt or to taste Sweet Potato Mash 4 small sweet potatoes ½ cup cashew cream (blend ¼ soaked cashews with ½ cup of water)  4 tbsp chopped chives 2 tbsp nutritional yeast-OR- 2 tsp of lemon juice 1 ½ tsp salt Pepper OPTIONAL TO MAKE YOUR OWN… HV Cheese sauce ,Pot OR Steamer Potato Masher ,"PREPARE PIE CRUST Mix ground flax and water and set aside. Combine almond flour, baking powder, arrowroot, and salt together in a bowl.  Add the flax mixture and mix with a spoon until it begins to come together. Use your hands to bring it all together to form a ball of dough.  Place the ball of dough between 2 sheets of parchment paper to roll. Roll to fit a 9-inch pie pan.  Poke the crust with a fork, cover and place it in the freezer for 20 minutes.  In the meanwhile, preheat the oven to 400 F. Cover the pie crust with parchment and use pie weights or other heat-safe material to weigh the crust down. Bake for 15 minutes.  PREPARE THE SWEET POTATO MASH Peel and cut sweet potatoes into large pieces. Boil or steam until soft. Drain and mash your potatoes. Add cashew cream (or coconut milk) nutritional yeast, salt, pepper, and chives. Mix/mash to combine.  ASSEMBLE PIE Add the veggie ground to the pie crust. Top with sweet potato mash. BAKE Bake at 350 F for 20 minutes or until the crust is golden on the edges. FINISH AND SERVE Drizzle cheese sauce and garnish with chives. Enjoy! "
No-Fu  Sushi ,Prep+Cooking time: 30 mins Servings: 2 servings,2 nori sheets 2 cups well cooked quinoa ½ tbsp apple cider vinegar ½ tbsp tahini ½ tbsp date syrup 10 oz of tofu* 2 sprigs green onion ⅓ cup shredded red cabbage ⅓ cup thinly sliced carrots ½ of an ataulfo mango cut into strips Optional:  Vegan spicy mayo Note: For soy-free replace tofu with HV Mung Fu. ,Knife  Sushi Mat ,"PREPARE THE QUINOA Combine cooked quinoa, tahini, date syrup, and apple cider vinegar in a bowl and mix. ROLL YOUR SUSHI Place a nori sheet on your sushi mat glossy side down. Make sure your nori is lined up with the edge of the matt Evenly spread some quinoa mixture to cover your nori sheet, leaving a 1.5-2 inch edge uncovered. Line your ingredients up in the center of the quinoa (as shown in video)  Carefully lift the edge of your sushi mat and begin to guide it over and around your filling, bring the edge of the mat down to meet the edge of your quinoa and gently pull back to tighten your roll.  Lift the sushi mat and lay flat. Dampen the edge of your nori sheet with some water and roll to seal your sushi roll CUT AND SERVE Using a sharp knife, cut your sushi roll into desired thickness. Enjoy! "
